epoch,accuracy,loss,val_accuracy,val_loss
0,0.1146245077252388,6.042416095733643,0.058139536529779434,3.2165136337280273
1,0.19367589056491852,2.8611536026000977,0.040697675198316574,3.8786025047302246
2,0.25889328122138977,2.673410415649414,0.040697675198316574,4.619755744934082
3,0.29841896891593933,2.351193428039551,0.08139535039663315,4.566896438598633
4,0.3379446566104889,2.0776820182800293,0.040697675198316574,5.490414619445801
5,0.41897234320640564,1.9274200201034546,0.040697675198316574,6.040618419647217
6,0.4624505937099457,1.6462658643722534,0.06395348906517029,5.878774642944336
7,0.5138339996337891,1.593056321144104,0.05232558026909828,6.6987104415893555
8,0.5355731248855591,1.4282114505767822,0.040697675198316574,6.626644611358643
9,0.5889328122138977,1.2888766527175903,0.040697675198316574,6.778050422668457
10,0.6501976251602173,1.0780187845230103,0.06976744532585144,6.420539379119873
11,0.6620553135871887,1.181917428970337,0.075581394135952,5.435443878173828
12,0.709486186504364,0.9617884755134583,0.09302325546741486,6.601199626922607
13,0.760869562625885,0.7931085824966431,0.05232558026909828,6.145503520965576
14,0.7430830001831055,0.8014899492263794,0.06976744532585144,6.766316890716553
15,0.7075098752975464,0.8952635526657104,0.05232558026909828,7.2977705001831055
16,0.7411067485809326,0.7637560367584229,0.04651162773370743,5.815054893493652
17,0.7411067485809326,0.8063347935676575,0.06395348906517029,6.5203962326049805
18,0.768774688243866,0.6340277194976807,0.15697674453258514,4.982079982757568
19,0.8083003759384155,0.6143859624862671,0.151162788271904,5.784480571746826
20,0.8023715615272522,0.610458254814148,0.12209302186965942,6.141722202301025
21,0.8063241243362427,0.5888744592666626,0.18023255467414856,4.372727870941162
22,0.8359683752059937,0.5144203901290894,0.19186046719551086,5.175104141235352
23,0.8300395011901855,0.5021247267723083,0.25,3.7512362003326416
24,0.8438735008239746,0.48943647742271423,0.27906978130340576,4.259426593780518
25,0.8418972492218018,0.47734540700912476,0.447674423456192,2.4176628589630127
26,0.8893280625343323,0.39455467462539673,0.4360465109348297,2.741218328475952
27,0.8715415000915527,0.3870641589164734,0.4651162922382355,2.3594892024993896
28,0.8952569365501404,0.3480498492717743,0.4011628031730652,3.263977289199829
29,0.9090909361839294,0.2714093029499054,0.44186046719551086,3.0467886924743652
30,0.9011857509613037,0.2454538643360138,0.5523256063461304,2.2280666828155518
31,0.9189723134040833,0.2747766077518463,0.680232584476471,1.5462111234664917
32,0.926877498626709,0.24328351020812988,0.5465116500854492,2.0821690559387207
33,0.9130434989929199,0.2806486487388611,0.7267441749572754,1.0765212774276733
34,0.9090909361839294,0.23062339425086975,0.7441860437393188,1.0065983533859253
35,0.9446640610694885,0.19399407505989075,0.7441860437393188,1.1555854082107544
36,0.9545454382896423,0.18667316436767578,0.7441860437393188,1.087472677230835
37,0.9644268751144409,0.13008014857769012,0.7965116500854492,0.8616266250610352
38,0.9683794379234314,0.11635427922010422,0.680232584476471,1.3580830097198486
39,0.926877498626709,0.25953879952430725,0.645348846912384,1.6504493951797485
40,0.9090909361839294,0.25302863121032715,0.7209302186965942,1.3087788820266724
41,0.9367588758468628,0.20536939799785614,0.7848837375640869,0.9788073301315308
42,0.9525691866874695,0.1780967116355896,0.7732558250427246,1.0881081819534302
43,0.9545454382896423,0.12063436955213547,0.7093023061752319,1.1110974550247192
44,0.9743083119392395,0.09608235955238342,0.819767415523529,0.9049404263496399
45,0.9664031863212585,0.11345367133617401,0.7965116500854492,0.9711084365844727
46,0.9743083119392395,0.07767733931541443,0.7558139562606812,1.2597055435180664
47,0.970355749130249,0.0924561470746994,0.8023256063461304,0.8531714081764221
48,0.9683794379234314,0.08650881797075272,0.7790697813034058,1.0543473958969116
49,0.9584980010986328,0.14688710868358612,0.7674418687820435,1.048196792602539
50,0.9387351870536804,0.13947558403015137,0.7790697813034058,1.2232214212417603
51,0.9624505639076233,0.13306201994419098,0.7906976938247681,1.0303401947021484
52,0.9584980010986328,0.11506525427103043,0.819767415523529,0.9808220267295837
53,0.9743083119392395,0.08576484769582748,0.8139534592628479,0.9345898032188416
